标题,标题1,标题2,标题3,标题4,标题5,内容,keyword
数据标注/AI训练师,山西福瑞阁文化科技有限公司,湖北省武汉市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师,山西星辰启航信息科技有限公司,广东省东莞市,算法/AI,不限,2026-07-01,"薪酬:3000-8000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师,山西艺溪云智科技有限责任公司,浙江省绍兴市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据中心基础环境管理,杭州擎空科技有限公司,上海市,技术,5-10年,2026-07-01,"薪酬:12000-13000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据标注/AI训练师,山西艺溪云智科技有限责任公司,湖北省武汉市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
信贷专员 只打精准数据,慧幄上海金融信息服务有限公司,上海市,技术,不限,2026-07-01,"薪酬:7000-11000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师,滁州云端信息科技有限公司,山西省太原市,算法/AI,1-3年,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据标注/AI训练师,山西启航新程网络科技有限公司,山西省运城市,算法/AI,1-3年,2026-07-01,"薪酬:3000-6000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
研发经理（数据平台）,云深处科技股份有限公司,北京市,技术,5-10年,2026-07-01,"薪酬:50000-80000元/月
学历:硕士
经验:5-10年
来源:BOSS直聘",数据
数据治理解决方案专家,新疆美创信息科技有限公司,新疆维吾尔自治区乌鲁木齐市,技术,3-5年,2026-07-01,"薪酬:12000-17000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
上海机器人数据采集员,北京集纳盛广网络科技有限公司,上海市,数据处理,不限,2026-07-01,"薪酬:3000-4500元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据与人工智能负责人,瑞太信息技术深圳有限公司,广东省深圳市,技术,10年以上,2026-07-01,"薪酬:80000-100000元/月
学历:硕士
经验:10年以上
来源:BOSS直聘",数据
数据标注/AI训练师,高勘广州技术有限公司,广东省广州市,算法/AI,不限,2026-07-01,"薪酬:10000-15000元/月
学历:硕士
经验:不限
来源:BOSS直聘",数据
PS培训数据处理岗位,陕西千多立科技有限公司,陕西省铜川市,技术,1-3年,2026-07-01,"薪酬:3000-8000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据标注/AI训练师,山西福瑞阁文化科技有限公司,湖北省武汉市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师,山西艺溪云智科技有限责任公司,浙江省绍兴市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据分析（梧州工作）,政通智慧城市运营科技有限公司广州第二分公司,广西壮族自治区桂林市,数据分析,3-5年,2026-07-01,"薪酬:8000-9000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
python数据采集,广州萱苔科技有限公司,广东省广州市,数据处理,3-5年,2026-07-01,"薪酬:8000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
智驾安全员/数据采集,合肥市方彻科技合伙企业有限合伙,湖北省武汉市,数据处理,5-10年,2026-07-01,"薪酬:8000-10000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据产品经理（芯片行业 | 工艺优化方向）,上海合柒智能科技有限公司,江苏省无锡市,产品,5-10年,2026-07-01,"薪酬:12000-24000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据分析师（梧州工作）,政通智慧城市运营科技有限公司广州第二分公司,广东省广州市,数据分析,3-5年,2026-07-01,"薪酬:8000-9000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据治理开发运营工程师,福建新大陆软件工程有限公司,新疆维吾尔自治区乌鲁木齐市,技术,不限,2026-07-01,"薪酬:6000-10000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
北京机器人数据采集员：,北京集纳盛广网络科技有限公司,北京市,数据处理,不限,2026-07-01,"薪酬:170-180元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
早九晚六+法休 数据标注,北京云联智传科技有限公司,河北省保定市,数据处理,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据库SRE高级工程师,顺丰科技有限公司,广东省深圳市,技术,3-5年,2026-07-01,"薪酬:20000-35000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
python数据分析师,深圳市鲸驰寰宇科技有限公司,广东省深圳市,数据分析,1-3年,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据分析师(跨境电商),深圳市彼岸环球科技有限公司,广东省深圳市,数据分析,3-5年,2026-07-01,"薪酬:12000-18000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
AI全栈工程师(数据),智慧芽信息科技苏州有限公司,江苏省苏州市,技术,3-5年,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
急急急！小语种数据标注,四川语言桥信息技术有限公司,浙江省杭州市,数据处理,不限,2026-07-01,"薪酬:7000-12000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据中心L1层运维经理,中邮建技术有限公司,江苏省南京市,技术,5-10年,2026-07-01,"薪酬:13000-20000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
项目经理 - AI数据中心,祐力中国投资有限公司,江苏省苏州市,算法/AI,10年以上,2026-07-01,"薪酬:30000-45000元/月
学历:本科
经验:10年以上
来源:BOSS直聘",数据
数据分析师（梧州工作）,政通智慧城市运营科技有限公司广州第二分公司,广西壮族自治区柳州市,数据分析,3-5年,2026-07-01,"薪酬:8000-9000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据中心L2层运维经理,中邮建技术有限公司,江苏省南京市,技术,5-10年,2026-07-01,"薪酬:13000-20000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
高级数据仓库开发工程师,浙江新兔科技有限公司,浙江省杭州市,技术,3-5年,2026-07-01,"薪酬:20000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据分析师（梧州工作）,政通智慧城市运营科技有限公司广州第二分公司,广西壮族自治区贵港市,数据分析,3-5年,2026-07-01,"薪酬:8000-9000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据工程师（全国出差）,东华软件股份公司大连分公司,辽宁省大连市,技术,5-10年,2026-07-01,"薪酬:10000-14000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据开发工程师（南昌）,湖南维创信息技术有限公司,江西省南昌市,技术,5-10年,2026-07-01,"薪酬:13000-18000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
AI 数据解决方案工程师,上海哔哩哔哩科技有限公司,上海市,技术,5-10年,2026-07-01,"薪酬:40000-60000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
高级量化数据开发工程师,上海鸣熙资产管理有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:30000-60000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
资深数据分析师（广州）,网易杭州网络有限公司,广东省广州市,数据分析,5-10年,2026-07-01,"薪酬:25000-50000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
具身数据采集应用工程师,启芯源科技上海有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:20000-35000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据开发工程师（杭州）,网易杭州网络有限公司,浙江省杭州市,技术,5-10年,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据要素项目实施工程师,中都国脉北京资产评估有限公司贵州分公司,贵州省贵阳市,技术,1-3年,2026-07-01,"薪酬:6000-8000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
总装车间--KD数据员,上海汽车集团股份有限公司,河南省郑州市,技术,3-5年,2026-07-01,"薪酬:6000-8000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据库管理员（DBA）,爱建证券有限责任公司,上海市,技术,5-10年,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据员（包吃住+社保）,监利市浩宇制衣有限公司,湖北省荆州市,技术,3-5年,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据
数据分析师（云浮工作）,政通智慧城市运营科技有限公司广州第二分公司,广东省云浮市,数据分析,3-5年,2026-07-01,"薪酬:9000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据库SRE高级工程师,顺丰科技有限公司,广东省深圳市,技术,5-10年,2026-07-01,"薪酬:25000-50000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
AI数据标注/双休法休,深圳市法本信息技术股份有限公司,北京市,算法/AI,1-3年,2026-07-01,"薪酬:11000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据分析师（梧州工作）,政通智慧城市运营科技有限公司广州第二分公司,广西壮族自治区南宁市,数据分析,3-5年,2026-07-01,"薪酬:8000-9000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
AI数据平台工具工程师,上海哔哩哔哩科技有限公司,上海市,技术,5-10年,2026-07-01,"薪酬:40000-60000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据开发工程师（应用）,上海辉略企业发展集团有限公司,辽宁省大连市,技术,3-5年,2026-07-01,"薪酬:9000-13000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
高级数据库工程师/专家,北京奥星贝斯科技有限公司,北京市,技术,3-5年,2026-07-01,"薪酬:30000-55000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据分析师（梧州工作）,政通智慧城市运营科技有限公司广州第二分公司,广西壮族自治区玉林市,数据分析,3-5年,2026-07-01,"薪酬:8000-9000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据分析师（梧州工作）,政通智慧城市运营科技有限公司广州第二分公司,广西壮族自治区玉林市,数据分析,3-5年,2026-07-01,"薪酬:8000-9000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据开发工程师（南昌）,湖南维创信息技术有限公司,江西省南昌市,技术,5-10年,2026-07-01,"薪酬:13000-18000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
产品经理（片数据分析）,上海戌月科技服务有限公司,广东省深圳市,数据分析,3-5年,2026-07-01,"薪酬:15000-20000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据
数据标注/ 偃师 / 接受小白,河南黎光科技有限公司,河南省洛阳市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:中专/中技
经验:不限
来源:BOSS直聘",数据
【数据分析师】电商+单双,郑州汝元商贸有限公司,河南省郑州市,数据分析,1-3年,2026-07-01,"薪酬:5000-8000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
Java数据开发工程师,北京酷吉乐科技有限公司,湖北省武汉市,技术,5-10年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
美学数据/纯文职/不销售,河北航数科技有限公司,山西省太原市,技术,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
郏县 0 基础 AI 数据标注员,郏县讯锋网络科技工作室个体工商户,河南省平顶山市,算法/AI,不限,2026-07-01,"薪酬:2000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
AI数据标注（双休高薪）,柯莱特信息技术有限公司,湖北省武汉市,算法/AI,1-3年,2026-07-01,"薪酬:7000-8000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
非结构化数据治理工程师,智菲科技集团有限公司,四川省成都市,技术,3-5年,2026-07-01,"薪酬:20000-29000元/月
学历:硕士
经验:3-5年
来源:BOSS直聘",数据
增长运营（数据方向）外派,博彦科技深圳有限公司,上海市,运营/策略,3-5年,2026-07-01,"薪酬:7000-8000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据分析师（梧州工作）,政通智慧城市运营科技有限公司广州第二分公司,广西壮族自治区贺州市,数据分析,3-5年,2026-07-01,"薪酬:8000-9000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据分析(J14913),北京掌上先机网络科技有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:12000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
医用大模型数据开发工程师,浙江大学台州研究院,浙江省台州市,技术,不限,2026-07-01,"薪酬:15000-30000元/月
学历:硕士
经验:不限
来源:BOSS直聘",数据
信息安全数据安全专家 - 4,深圳依时货拉拉科技有限公司,广东省深圳市,技术,10年以上,2026-07-01,"薪酬:50000-70000元/月
学历:本科
经验:10年以上
来源:BOSS直聘",数据
数据分析(J14913),北京掌上先机网络科技有限公司,北京市,数据分析,1-3年,2026-07-01,"薪酬:12000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据标注专员/双休/九六,成都小咖邦智能科技有限公司,四川省成都市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
电气工程师（数据中心）,深圳市特发信息股份有限公司,广东省河源市,技术,5-10年,2026-07-01,"薪酬:10000-11000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
兼职数据采集—青白江急需,复川重庆生态农业科技有限公司,四川省成都市,数据处理,不限,2026-07-01,"薪酬:20-50元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
BI工程师（数据分析师）,江苏达科信息科技有限公司,北京市,数据分析,10年以上,2026-07-01,"薪酬:16000-17000元/月
学历:本科
经验:10年以上
来源:BOSS直聘",数据
英语数据标注/AI训练师,深圳市壹字信息技术有限公司,北京市,算法/AI,1-3年,2026-07-01,"薪酬:8000-13000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
AI数据标注/AI训练师,郑州市础关信息科技有限公司,河南省郑州市,算法/AI,不限,2026-07-01,"薪酬:4000-6000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据岗、Java岗-外包,新晨科技股份有限公司,四川省成都市,技术,3-5年,2026-07-01,"薪酬:9000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
AI视频数据集开发产品经理,上海慧神笔智能科技有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:10000-15000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据
数据湖/中间件运维工程师,重庆长安科技有限责任公司,北京市,技术,5-10年,2026-07-01,"薪酬:30000-50000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
环境数据分析工程师-河北,河北赛默森环保科技有限公司,河北省石家庄市,数据分析,3-5年,2026-07-01,"薪酬:5000-6000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
